en-cat	cat	en-sp	sp
The results provided in this and the following sections supplement the information on the cost of activities and management indicators established in Order HAP/1781/2013, the guidelines for the usual model of public accounting in the sense of at least presenting by services and activities financed by public taxes and charges.	Els resultats facilitats en aquest apartat i el següent dona compliment a la informació sobre el cost de les activitats i indicadors de gestió establerts en l'ordre HAP/1781/2013, instrucció del model normal de comptabilitat pública en el sentit de presentar almenys pels serveis i activitats finançades amb taxes i preus públics.	The results provided in this and the following sections supplement the information on the cost of activities and management indicators established in Order HAP/1781/2013, the guidelines for the usual model of public accounting in the sense of at least presenting by services and activities financed by public taxes and charges.	Los resultados facilitados en este apartado y el siguiente dan complimiento a la información sobre el coste de las actividades e indicadores de gestión establecidos en la orden HAP/1781/2013, instrucción del modelo normal de contabilidad pública en el sentido de presentar al menos por los servicios y actividades financiadas con tasas y precios públicos. En relación a estos importes es necesario remarcar que son un extracto de los
With regard to these amounts, it should be pointed out that they are a selection of the results from the Barcelona City Council cost model, based on the ABC (Activity Based Costing) model, in which only those activities/tasks financed by public taxes or charges have been considered.	En relació a aquests imports cal remarcar que son un extracte dels resultats del model de costos de l'Ajuntament de Barcelona, basat en el model de costos ABC (Activity Based Costing) en el que s'han considerat únicament aquelles activitats-tasques que tenen en el seu finançament via taxes o preus públics.	With regard to these amounts, it should be pointed out that they are a selection of the results from the Barcelona City Council cost model, based on the ABC (Activity Based Costing) model, in which only those activities/tasks financed by public taxes or charges have been considered.	resultados del modelo de costes del Ayuntamiento de Barcelona, basado en el modelo de costes ABC (Activity Based Costing) en el que se han considerado únicamente aquellas actividades-tareas que tienen en su financiación vía tasas o precios públicos.
General summary of city council costs	Resum general de costos de l'ajuntament	General summary of city council costs	Resumen general de costes del Ayuntamiento
COST SUMMARY PER ITEM OF ACTIVITY	Resum general de costos de l'ajuntament	COST SUMMARY PER ITEM OF ACTIVITY	Resumen del coste por elementos de la actividad
Cultural and outreach activities: Courses and workshops	Activitats culturals i de divulgació: Cursos i tallers	Cultural and outreach activities: Courses and workshops	Actividades culturales y de divulgación: Cursos y talleres
Cultural and outreach activities: Renting and use of premises	Activitats culturals i de divulgació: Lloguer i cessió d'espais	Cultural and outreach activities: Renting and use of premises	Actividades culturales y de divulgación: Alquiler y cesión de espacios
Training activities: Courses and workshops	Activitats formatives: Cursos i tallers	Training activities: Courses and workshops	Actividades formativas: Cursos y talleres
Urban planning activities: Subsidiary implementation files	Actuació urbanística: Expedients d'execució subsidiària	Urban planning activities: Subsidiary implementation files	Actuación urbanística: Expedientes de ejecución subsidiaria
Urban planning activities: Urban planning files and reports	Actuació urbanística: Expedients i informes urbanístics	Urban planning activities: Urban planning files and reports	Actuación urbanística: Expedientes e informes urbanísticos
Urban planning activities: Processing major works permits	Actuació urbanística: Tramitació de les llicències d'obra major	Urban planning activities: Processing major works permits	Actuación urbanística: Tramitación de las licencias de obra mayor
Actions: Fountains	Actuacions: Fonts	Actions: Fountains	Actuaciones: Fuentes
Animals: Protection and control of animals: Barcelona Pet Shelter (CAACB)	Animals: Protecció i control d'animals: Centre d'Acollida d'Animals de Companyia de Barcelona (CAACB)	Animals: Protection and control of animals: Barcelona Pet Shelter (CAACB)	Animales: Protección y control de animales: Centro de Acogida de Animales de Compañía de Barcelona (CAACB)
Advice and Training: External training for fire-fighters	Assessoraments i Formació: Formació externa donada pels bombers	Advice and Training: External training for fire-fighters	Asesoramientos y Formación: Formación externa dada por los bomberos
Cost summary per activity	Resum dels costos per activitat	Cost summary per activity	Resumen de los costes por actividad
Summary relating activity costs and income from activity	Resum relacionant costos i ingressos de les activitats	Summary relating activity costs and income from activity	Resumen relacionando costes e ingresos de las actividades
27. Management indicators	27. Indicadors de gestió	27. Management indicators	27. Indicadores de gestión
As pointed out in note 26, only those indicators that refer to services and activities financed with taxes and public charges are shown.	Tal i com s'indica a la nota 26 es presenten únicament els indicadors que fan referència als serveis i activitats finançades amb taxes i preus públics.	As pointed out in note 26, only those indicators that refer to services and activities financed with taxes and public charges are shown.	Tal y como se indica en la nota 26 se presentan únicamente los indicadores que hacen referencia a los servicios y actividades financiadas con tasas y precios públicos.
Likewise, it should be noted that systems and procedures are currently being adapted that will enable us to define all the economic, efficiency and effectiveness indicators set out in the current Guidelines.	Així mateix cal indicar que en l'actualitat s'estan adaptant els sistemes i definint els procediments per poder determinar tots els indicadors d'eficàcia, eficiència i economia, i de mitjans de producció que estableix la vigent Instrucció.	Likewise, it should be noted that systems and procedures are currently being adapted that will enable us to define all the economic, efficiency and effectiveness indicators set out in the current Guidelines.	Así mismo es necesario indicar que en la actualidad se están adaptando los sistemas y definiendo los procedimientos para poder determinar todos los indicadores de eficacia, eficiencia y economía, y de medios de producción que establece la vigente Instrucción.
Urban planning activities: Subsidiary implementation files	Actuació urbanística: Expedients d'execució subsidiària	Urban planning activities: Subsidiary implementation files	Actuación urbanística: Expedientes de ejecución subsidiaria
€ 751,033.06	751.033,06 €	€ 751,033.06	751.033,06 €
= € 11,554.35 / file	= 11.554,35 € / expedient	= € 11,554.35 / file	------------------= 11.554,35 € / expediente
65 files	65 expedients	65 files	65 expedientes
Urban planning activities: Urban planning files and reports	Actuació urbanística: Expedients i informes urbanístics	Urban planning activities: Urban planning files and reports	Actuación urbanística: Expedientes e informes urbanísticos
